Model,Rank,Average,Boolean Expressions,Causal Judgement,Date Understanding,Disambiguation QA,Dyck Languages,Formal Fallacies,Geometric Shapes,Hyperbaton,Logical Deduction Three Objects,Logical Deduction Five Objects,Logical Deduction Seven Objects,Movie Recommendation,Multistep Arithmetic Two,Navigate,Object Counting,Penguins In A Table,Reasoning About Colored Objects,Ruin Names,Salient Translation Error Detection,Snarks,Sports Understanding,Temporal Sequences,Tracking Shuffled Objects Three Objects,Tracking Shuffled Objects Five Objects,Tracking Shuffled Objects Seven Objects,Web Of Lies,Word Sorting
ChatGLM3-6B,46.0,44.562962962962956,67.2,54.5,56.8,59.6,3.2,45.2,26.0,70.8,51.2,32.0,26.8,68.0,22.4,63.6,57.6,52.1,58.0,57.6,34.0,53.4,85.6,23.6,30.0,19.2,14.8,59.2,10.8
Vicuna-13B-v1.3,47.0,43.5,64.4,62.6,68.4,58.8,3.2,42.8,16.4,59.2,50.0,33.6,28.0,58.0,2.0,60.4,52.4,45.9,56.0,30.0,42.0,64.0,87.2,26.8,36.0,19.2,12.0,82.8,12.4
TigerBot-13B-Chat-V1,48.0,43.36666666666667,48.0,56.1,68.4,39.2,2.0,37.2,24.8,71.6,60.8,44.4,37.6,64.4,4.0,63.6,63.2,43.8,52.8,38.8,34.0,56.2,83.2,22.0,29.2,16.8,20.4,72.4,16.0
Vicuna-7B-v1.5,49.0,43.351851851851855,68.0,56.7,54.0,51.2,2.0,50.8,33.6,56.4,62.4,41.6,38.0,66.8,2.0,60.0,46.4,41.8,56.4,43.6,43.2,55.6,88.0,20.4,30.0,14.8,16.4,63.6,6.8
Vicuna-7B-v1.5-16k,50.0,42.82962962962962,73.6,54.0,53.6,51.6,1.2,44.0,30.4,58.0,60.4,38.0,40.4,69.2,1.6,60.0,50.0,40.4,48.4,49.6,44.0,55.6,90.0,15.6,29.2,16.4,16.8,56.8,7.6
DeepSeek-7B-Base,51.0,42.796296296296305,73.2,51.3,64.4,41.6,3.2,50.8,33.2,72.8,51.2,28.8,19.2,78.4,1.6,58.8,49.6,40.4,46.4,45.6,29.2,52.2,92.0,27.6,31.2,18.4,13.2,74.8,6.4
Baichuan-13B-Base,52.0,42.62222222222222,74.8,50.3,62.0,52.0,1.6,50.8,21.2,68.8,56.0,42.8,30.0,70.8,2.4,69.6,51.6,45.2,51.2,25.6,25.2,48.9,85.6,32.4,32.0,17.6,14.8,53.6,14.0
Aquila2-34B,53.0,42.53333333333334,73.6,51.3,49.6,32.8,0.4,48.0,28.0,51.6,60.0,36.8,30.0,43.6,18.4,73.2,68.0,45.9,69.6,30.0,30.8,62.4,68.4,28.0,38.8,20.8,18.4,62.8,7.2
WeMix-LLaMa2-7B,54.0,42.437037037037044,71.2,52.9,63.2,61.2,0.4,50.8,0.0,60.8,64.8,41.6,33.6,60.8,2.4,63.2,50.8,40.4,55.2,42.4,33.6,62.9,84.8,16.8,36.0,17.2,13.2,48.4,17.2
TigerBot-13B-Chat-V2,55.0,42.32962962962962,73.2,49.2,48.8,42.0,0.8,23.2,27.2,69.6,64.4,38.0,30.0,66.4,5.6,64.8,40.0,52.7,48.0,40.8,42.0,56.2,52.8,34.0,33.6,24.0,18.8,83.6,13.2
Baichuan2-7B-Base,56.0,41.82592592592593,73.6,49.7,64.0,34.4,4.8,46.4,10.0,66.0,48.0,34.4,24.8,77.2,4.0,61.6,60.8,41.1,57.6,27.6,35.2,51.7,91.2,17.2,34.0,17.2,14.8,72.4,9.6
DeepSeek-7B-Chat,57.0,41.644444444444446,67.6,18.7,54.0,55.6,2.0,46.0,26.0,63.2,60.0,35.6,26.4,75.2,8.0,58.4,57.2,53.4,48.8,40.8,40.0,56.7,31.6,30.0,35.6,21.2,14.0,91.2,7.2
Ziya-LLaMA-13B,58.0,40.918518518518525,72.4,58.3,60.8,47.6,0.4,45.6,3.6,57.6,58.0,30.0,8.8,52.8,1.2,57.6,53.6,43.2,49.2,36.4,30.8,62.9,93.6,16.8,32.4,16.0,15.2,90.0,10.0
TigerBot-13B-Chat-V3,59.0,40.459259259259255,0.8,58.8,49.2,57.2,0.8,36.8,30.4,68.4,62.8,32.4,28.4,63.2,4.0,64.8,43.6,54.8,48.8,34.0,40.8,55.6,60.0,32.8,42.0,25.2,18.8,64.0,14.0
LLaMA-2-13B-Chat,60.0,40.15555555555556,53.2,32.1,70.0,48.0,5.2,35.6,0.0,58.4,75.2,50.0,42.0,64.0,0.8,2.4,2.8,54.8,63.2,40.4,38.0,72.5,91.6,19.6,34.0,21.2,18.4,90.8,0.0
XVERSE-13B-Chat,61.0,39.9962962962963,67.6,49.2,63.2,40.0,2.8,22.8,14.4,56.4,43.2,32.8,27.2,68.4,6.4,63.2,54.0,52.7,55.6,28.0,39.2,64.0,60.8,22.8,30.4,19.6,14.4,73.6,7.2
TigerBot-7B-Base-V3,62.0,39.72592592592593,72.8,53.5,53.6,50.0,0.8,46.4,13.6,65.6,62.0,34.0,26.4,70.4,1.2,50.0,52.8,37.7,44.0,36.4,33.2,53.4,74.0,9.6,34.8,16.0,13.2,58.0,9.2
LLaMA-2-Chinese-7B,63.0,39.63333333333334,62.4,50.8,53.6,54.4,2.8,51.6,12.8,62.4,56.0,34.8,26.4,64.4,2.0,63.6,52.4,37.0,43.2,39.6,32.2,51.7,90.0,8.8,31.6,15.2,14.8,49.2,6.4
Chinese-Alpaca-2-7B,64.0,38.800000000000004,64.4,54.5,59.2,42.0,1.6,48.8,11.2,51.2,50.8,34.8,25.2,62.4,0.4,54.4,56.4,39.0,48.4,30.4,27.2,51.7,80.4,23.2,30.4,17.2,15.2,62.0,5.2
LLaMA-2-7B,65.0,38.2,68.0,52.4,60.0,47.2,1.2,49.2,0.0,51.6,55.2,32.8,24.0,73.2,1.2,53.6,49.6,31.5,45.6,32.8,19.2,48.3,88.4,12.0,34.8,18.0,17.6,53.2,10.8
oppo-experiemental-7B,66.0,38.007407407407406,70.4,50.3,58.4,43.6,3.2,46.0,9.6,55.6,51.2,36.4,25.2,49.6,8.4,60.4,47.6,42.5,33.2,24.4,16.4,49.4,84.8,41.2,29.2,19.2,10.8,50.4,8.8
LLaMA-13B,67.0,37.937037037037044,68.8,54.0,56.4,49.6,0.8,47.6,0.0,53.6,48.8,29.6,16.0,61.6,0.8,58.4,46.8,43.2,45.2,29.2,11.2,60.7,76.4,16.8,36.0,16.4,14.4,66.8,15.2
Vicuna-7B-v1.3,68.0,37.51111111111112,64.8,54.0,58.8,54.4,0.4,48.4,9.6,52.0,43.6,29.6,25.6,57.2,1.6,44.4,42.4,32.9,34.0,45.2,18.4,51.1,87.2,20.4,32.0,21.2,11.2,62.4,10.0
Xwin-LM-7B-V0.1,69.0,37.08148148148149,62.0,49.2,58.4,49.6,1.2,42.8,25.2,61.6,49.2,36.0,21.6,38.8,2.8,60.8,25.2,32.9,40.8,33.6,33.6,57.9,69.2,15.6,36.4,19.6,15.6,55.2,6.4
InternLM-7B,70.0,36.955555555555556,62.0,43.3,62.0,44.0,0.4,52.8,17.6,58.4,47.2,29.2,22.4,48.0,6.8,54.0,56.4,34.9,41.6,20.0,15.6,59.6,74.4,26.0,32.0,19.6,12.8,53.6,3.2
AquilaChat2-34B,71.0,36.94444444444444,64.0,54.0,46.8,44.8,0.0,38.4,37.6,60.4,50.4,24.0,19.6,44.8,10.0,66.8,62.4,37.7,48.8,23.2,25.6,43.8,22.0,27.6,32.0,20.8,12.4,73.2,6.4
InternLM-Chat-7B-8K,72.0,35.98888888888889,55.6,40.1,35.2,34.8,0.4,49.2,17.2,48.0,49.6,24.4,13.6,57.2,3.2,52.8,51.6,33.6,35.2,22.4,79.7,56.7,68.4,14.8,30.0,18.8,14.4,64.8,0.0
Baichuan2-7B-Chat,73.0,35.840740740740735,39.2,52.9,49.2,36.4,0.4,50.0,5.2,56.4,48.4,35.6,31.6,52.0,4.8,44.4,22.0,45.9,42.8,36.0,32.0,44.9,69.2,22.0,24.8,15.2,12.4,86.4,7.6
LLaMA-2-7B-Chat,74.0,35.64814814814815,65.6,20.9,57.2,54.4,2.4,47.2,0.0,51.6,57.2,33.6,28.8,56.4,2.8,14.8,50.0,41.1,42.8,42.0,29.6,54.5,87.2,13.6,28.0,14.4,16.4,45.2,4.8
MPT-7B,75.0,35.63703703703704,67.6,47.6,42.0,49.6,0.4,53.2,15.2,56.0,43.6,30.8,17.6,50.0,0.0,48.8,40.0,30.1,33.2,22.8,29.6,46.1,84.0,23.6,32.8,17.6,13.2,60.4,6.4
XVERSE-7B-Chat,76.0,35.53333333333333,63.6,53.5,50.4,36.4,0.4,12.8,10.4,61.2,49.6,26.4,18.8,38.4,7.2,59.6,55.2,45.9,48.4,39.6,21.6,50.0,42.8,36.8,31.2,16.0,14.0,60.4,8.8
InternLM-20B-Chat,77.0,35.333333333333336,62.8,43.9,44.0,46.4,0.4,50.4,17.2,22.0,49.6,23.6,16.0,60.0,3.6,56.4,59.2,37.7,40.0,8.0,22.0,61.2,76.0,26.8,30.0,18.0,16.8,62.0,0.0
Mistral-7B-Instruct-v0.1,78.0,35.01111111111111,56.4,9.1,54.4,31.2,0.8,2.4,18.4,59.2,63.6,36.4,24.4,60.8,11.2,70.4,50.8,30.1,20.0,45.2,20.8,43.3,71.6,29.2,40.0,26.0,18.0,48.8,2.8
WizardLM-7B,79.0,34.68888888888888,63.2,49.7,44.8,60.0,0.0,44.0,1.6,52.4,45.2,26.8,15.2,47.6,0.4,49.2,51.2,26.7,28.0,28.8,17.6,50.6,88.8,18.8,33.2,20.4,14.0,53.6,4.8
OpenLLaMA-7Bv2,80.0,34.62962962962964,74.8,55.6,43.6,36.8,0.8,52.4,0.8,64.8,41.2,26.8,14.8,38.8,0.4,54.8,48.0,26.7,27.6,30.8,19.2,51.1,66.0,32.0,35.6,19.2,15.2,51.6,5.6
MOSS-Moon,81.0,34.111111111111114,70.4,50.8,49.6,43.6,0.0,51.6,21.6,55.6,46.4,29.6,19.6,38.8,0.8,54.8,46.0,33.6,36.4,22.0,12.0,46.6,46.0,27.6,31.2,16.8,12.0,54.8,2.8
GoGPT,82.0,34.08518518518518,68.0,51.3,51.6,41.2,0.0,42.0,5.2,52.0,45.6,22.8,13.2,41.6,0.0,58.0,44.4,35.6,31.6,24.4,14.4,47.8,78.0,19.6,32.4,18.4,14.4,54.8,12.0
LLaMA-7B,83.0,33.474074074074075,66.0,41.7,44.8,45.2,1.6,46.4,0.0,58.0,43.2,23.2,13.6,40.8,0.0,44.8,46.8,27.4,34.6,22.4,16.8,46.1,81.6,24.0,36.4,18.4,14.0,57.2,8.8
Alpaca-7B,84.0,32.818518518518516,56.4,55.1,45.6,48.0,0.4,50.8,5.2,55.2,48.0,24.4,19.2,40.8,1.2,50.0,34.0,30.8,26.0,21.2,21.2,47.8,67.2,13.2,32.8,14.4,14.0,58.0,5.2
Baichuan-7B,85.0,32.78888888888889,58.4,55.1,41.6,43.2,0.0,50.0,0.0,50.0,46.8,27.6,14.8,40.4,0.0,59.2,39.2,30.1,24.0,28.4,18.0,44.9,66.8,24.8,36.0,17.2,16.0,49.2,3.6
ChatGLM2-6B,86.0,32.666666666666664,59.6,52.4,36.0,56.0,0.4,19.6,9.6,62.8,51.1,26.0,22.8,38.0,6.4,53.2,38.0,29.5,22.0,18.4,28.0,60.1,59.6,21.3,31.6,18.0,10.8,47.2,3.6
InternLM-Chat-7B,87.0,32.522222222222226,60.0,42.2,34.4,43.6,0.4,40.4,12.0,45.6,47.2,26.0,20.8,44.0,6.8,54.8,41.2,35.6,32.4,16.8,27.2,53.9,66.8,17.2,32.8,20.0,14.0,42.0,0.0
MOSS-Moon-SFT,88.0,32.26296296296296,73.6,44.9,37.6,37.6,1.6,42.8,18.0,56.4,43.2,20.8,18.4,28.8,0.8,56.0,50.4,32.9,35.6,16.8,24.4,48.9,56.0,24.0,28.4,14.8,12.0,45.2,1.2
XVERSE-7B,89.0,31.01851851851852,58.8,42.2,56.0,23.6,1.2,16.8,1.6,54.0,34.0,20.0,12.8,32.0,0.8,58.8,31.2,45.9,30.8,32.0,21.6,50.6,66.4,23.6,33.6,14.8,14.4,50.0,10.0
AquilaChat2-7B,90.0,30.792592592592587,64.0,60.4,30.0,41.2,0.4,26.8,8.8,51.2,36.0,19.6,16.4,42.0,0.4,56.8,39.2,28.1,14.4,14.8,16.0,51.7,68.8,26.4,34.4,18.0,12.0,46.8,6.8
OpenLLaMA-3Bv2,91.0,30.15925925925926,58.4,51.3,35.2,28.4,0.4,48.8,0.0,64.0,31.6,23.2,17.2,31.2,0.4,46.4,28.8,21.2,20.0,22.0,14.0,52.2,76.0,28.4,33.6,15.2,12.8,52.4,1.2
TigerBot-7B-Chat-V3,92.0,29.918518518518514,37.2,54.0,42.8,36.8,0.0,27.2,6.4,58.0,31.6,24.4,18.0,64.0,0.0,62.0,20.4,41.1,38.4,30.8,27.2,45.5,54.4,14.8,36.8,17.6,11.2,0.4,6.8
AquilaChat2-34B-16K,93.0,29.637037037037043,58.0,1.6,32.8,45.2,0.0,25.2,39.6,49.2,47.6,33.2,25.2,28.8,1.2,60.0,40.4,34.2,27.6,25.2,10.0,52.8,23.2,24.0,30.4,19.2,13.6,50.8,1.2
Phi-1.5-1.3B,94.0,29.56666666666667,65.6,55.6,18.8,31.2,0.0,47.2,0.0,51.6,41.6,25.2,16.8,28.0,2.0,50.0,36.0,30.1,23.2,21.6,17.2,47.8,48.4,23.6,34.4,16.4,15.6,48.0,2.4
TigerBot-7B-Base-V2,95.0,28.42962962962963,49.6,47.1,26.0,46.8,0.8,40.8,16.0,43.6,37.6,18.4,14.8,21.2,0.0,50.4,32.0,22.6,18.4,13.6,18.8,55.1,54.0,27.2,30.4,17.2,14.4,46.0,4.8
Qwen-1.8B-Chat,96.0,27.43333333333333,46.4,48.7,19.6,30.0,0.0,21.2,9.2,54.8,33.2,18.0,11.2,34.0,0.4,58.8,34.0,19.9,18.4,24.8,22.8,46.1,57.6,23.2,34.4,13.2,10.4,48.8,1.6
MPT-Instruct-7B,97.0,25.58518518518518,63.6,13.4,38.0,32.4,0.0,40.0,12.8,50.0,46.8,33.2,16.0,38.8,0.0,2.0,5.2,33.6,33.2,24.0,30.4,49.4,40.4,21.6,32.4,18.4,14.8,0.0,0.4
TigerBot-7B-SFT-V1,98.0,24.611111111111114,39.6,51.3,26.0,39.6,1.2,36.4,5.6,52.4,27.2,13.2,8.4,26.8,0.0,38.8,30.4,30.8,22.4,18.0,12.8,47.2,27.2,19.6,24.0,11.2,8.0,42.8,3.6
RWKV-5-3B,99.0,24.414814814814818,39.2,48.7,19.6,28.4,0.0,25.6,2.0,51.6,31.6,2.8,3.2,26.8,1.2,41.2,31.2,17.1,15.2,22.0,14.8,43.8,50.4,21.2,31.6,21.6,15.6,50.4,2.4
TigerBot-7B-Base-V1,100.0,23.085185185185193,44.8,15.5,20.8,32.8,0.0,30.4,3.6,56.4,8.8,14.0,5.6,36.0,0.0,41.2,38.0,19.9,17.6,23.6,11.6,53.9,54.8,27.2,35.2,17.2,13.2,0.0,1.2
Qwen-1.8B,101.0,22.60740740740741,45.2,7.5,31.2,46.0,0.0,6.0,7.2,55.6,33.2,18.8,9.2,36.0,7.6,48.8,10.8,31.5,25.6,14.8,10.8,46.6,64.0,8.4,28.8,10.4,5.2,1.2,0.0
