Rank	Model	Company	Release	Parameters	Average	Boolean Expressions	Causal Judgement	Date Understanding	Disambiguation QA	Dyck Languages	Formal Fallacies	Geometric Shapes	Hyperbaton	Logical Deduction Three Objects	Logical Deduction Five Objects	Logical Deduction Seven Objects	Movie Recommendation	Multistep Arithmetic Two	Navigate	Object Counting	Penguins In A Table	Reasoning About Colored Objects	Ruin Names	Salient Translation Error Detection	Snarks	Sports Understanding	Temporal Sequences	Tracking Shuffled Objects Three Objects	Tracking Shuffled Objects Five Objects	Tracking Shuffled Objects Seven Objects	Web Of Lies	Word Sorting
11	ChatGLM3-6B-Base	ZhipuAI	2023/10/27	6B	66.2	87.6	64.2	75.2	72.8	9.2	50.4	37.2	93.6	67.6	47.2	32.8	86.8	57.2	87.2	92	61.6	80.8	84	42.8	60.1	93.6	89.6	59.2	64	56	94.8	39.6
12	LLaMA-2-70B	Meta	2023/7/19	70B	64.9	81.2	63.6	88.4	67.2	14	44.4	0	84.8	86	54	42.4	95.6	21.2	82.4	82.8	69.9	77.2	63.6	50.8	74.7	98.4	75.6	74	72.4	57.6	100	30.4
13	TigerBot-70B-Chat-V2	TigerResearch	2023/9/15	70B	63.9	82.4	68.4	74.8	78.4	14.4	44.4	36.8	91.2	84.4	54.8	41.6	84	20.8	84.8	77.2	69.2	76	66.4	54	71.9	72.4	71.2	75.6	55.6	44.4	99.6	30
14	TigerBot-70B-Base-V1	TigerResearch	2023/9/6	70B	63.7	80	62.6	77.6	69.2	13.2	44.4	31.2	85.6	81.6	47.6	35.2	91.6	24.4	82	81.2	69.2	74	62.8	53.2	69.1	97.2	88.8	73.6	56.4	40.4	100	29.2
15	Qwen-72B	Alibaba	2023/11/30	72B	63.7	91.6	29.4	74.4	68.4	13.2	6	23.6	89.6	88.8	60	50	81.6	70	54	82.4	78.8	85.2	81.2	58.4	77	87.6	70.4	79.6	56.8	63.2	64.8	34.8
16	TigerBot-70B-Chat-V1	TigerResearch	2023/9/6	70B	63.2	80.8	63.1	72.8	61.6	14.8	44.8	31.6	91.6	80	52.8	39.6	82	20.8	86.4	85.2	67.8	70.4	69.6	52.8	69.7	91.6	80.4	67.6	55.6	43.6	99.6	29.2
17	OrionStar-Yi-34B-Chat	OrionStarAI	2023/11/16	34B	61.7	88	62	83.2	78.8	5.2	53.2	34.4	78	83.2	57.6	39.6	83.6	32.4	66	67.6	67.8	73.2	65.6	52.8	78.7	87.2	66.4	48.4	46	40.4	99.6	26.8
18	LLaMA-2-70B-Chat	Meta	2023/7/19	70B	60.8	80.4	57.8	80.4	66.8	4	53.2	0	71.2	88.8	53.6	47.2	87.6	10.8	77.6	65.6	70.5	76.4	77.2	45.6	78.7	95.6	85.6	50	46.8	42.4	99.6	28
19	Dolphin-2.2.1-Mistral-7B	Eric Hartford	2023/10/11	7B	59.8	80.4	59.9	73.2	73.2	4.8	47.6	36.8	82	81.6	56	40	81.2	38	68.4	72	69.9	78.4	66.8	57.2	62.9	98.8	76.8	44.4	27.6	25.2	91.6	19.2
20	LLaMA-65B	Meta	2023/2/24	65B	58.4	81.6	55.1	84.4	76.8	6.8	41.6	0	75.2	79.2	47.6	39.2	91.2	18.8	72.8	70	65.8	66.8	70.8	40.8	63.5	98.8	84.8	50.4	41.6	31.6	99.6	21.6
21	Qwen-14B-Chat	Alibaba	2023/9/25	14B	58	83.2	58.3	73.6	70.8	1.6	36.4	46	76.8	80.8	42	36.4	78	41.6	77.2	73.6	61.6	74	61.2	49.6	69.1	91.6	67.6	46	28	21.2	97.2	23.6
22	Mistral-7B-v0.1	mistralai	2023/9/27	7B	56.7	82	48.1	76.8	53.6	4.4	43.6	28	70.8	79.2	54.8	42	78	30.4	73.6	67.6	56.2	69.6	66	47.2	64	97.2	73.6	45.2	30	21.6	100	26.4
23	Qwen-14B	Alibaba	2023/9/25	14B	53.7	76.8	55.1	9.6	63.2	3.2	50	44.8	79.2	79.2	47.2	38.8	80.4	64	76	50.8	61	73.6	64.4	46.8	50.6	88.4	15.6	46.8	34	30	97.6	24
24	Nanbeige-16B-Base-32K	Nanbeige	2023/11/8	16B	52.9	77.2	57.2	73.2	61.2	2	49.2	24.8	78	71.2	41.2	37.6	77.6	13.6	69.2	55.6	52.1	69.6	54	50.8	60.7	86.8	61.2	38	26	21.6	100	19.2
25	InternLM-20B	Shanghai AI Lab & SenseTime	2023/9/20	20B	52.5	72	62.6	71.6	63.2	3.2	54	35.2	64.4	72	48.4	38	77.6	15.6	66.4	62	52.1	68	64.8	48	60.7	92	44.4	26.4	25.6	18.8	92	18.8
26	Vicuna-33B-v1.3	UC Berkeley	2023/4/7	33B	52	76	61	76	58.4	1.6	42.8	32.4	66	74	50.8	36.4	77.2	9.2	67.2	60.8	56.8	62	61.2	47.2	65.2	94	34	34.8	25.2	18.8	94.8	20.8
27	Vicuna-13B-v1.5	LMSYS	2023/7/29	13B	51.5	76	61	73.2	66	2.4	48.8	38	68.4	73.6	40.4	41.2	67.6	5.2	67.6	64.8	61	62.4	46.8	42.4	60.1	94	49.6	31.6	20.4	16.4	94.8	17.2
28	Nanbeige-16B-Base	Nanbeige	2023/11/8	16B	50.8	75.6	50.8	73.6	35.2	1.2	48.8	24.4	68.4	62.4	42	41.6	82.4	8.4	73.2	57.2	52.7	70.4	41.2	38.4	59.6	90.4	66.4	42.4	28.8	18.8	90.4	26.8
29	LLaMA-30B	Meta	2023/2/24	30B	50	78.4	56.1	76.8	60	2.8	43.2	0	73.2	66.8	42.4	31.2	84.4	3.2	64.8	71.6	56.8	57.6	62.8	43.2	60.1	94	34	29.6	22	18.8	98.4	17.2
30	Baichuan2-13B-Chat	Baichuan Intelligent Technology	2023/9/6	13B	49.9	74.8	56.1	64.4	51.6	3.2	45.2	28.4	58.8	64.4	36	36.4	67.2	24.8	71.2	64.8	57.5	67.6	50.4	47.2	65.7	91.6	42	40.8	26.8	16.8	75.2	18.4
31	Baichuan2-13B-Base	Baichuan Intelligent Technology	2023/9/6	13B	49	73.2	55.1	67.2	54.4	2.8	49.6	28.4	67.2	62.8	44	44.8	74	17.2	66.4	60.8	56.8	62.8	36	35.6	51.7	92.4	31.2	40	23.2	15.2	81.2	28.4
32	WeMix-LLaMa2-13B	Shanghai AI Lab	2023/10/11	13B	48.6	75.6	56.7	70.8	67.2	7.2	46.8	0	56.4	67.2	48.8	44.8	65.2	2	68	52.8	54.1	71.6	42.8	34.4	70.8	86.4	40	35.6	24.4	20	84.8	17.6
33	Yulan-Chat-2-13B	GSAI, Renmin University of China	2023/8/2	13B	48.6	76	55.1	68	54.8	2	44.8	23.2	56.4	68	47.6	39.6	63.6	5.2	64.4	58	52.1	62	40.4	42.4	66.3	86	52.4	29.2	20.4	20	97.6	16
34	Skywork-13B-base	Kunlun Inc.	2023/10/30	13B	48.3	72.4	56.1	74.4	52.8	1.2	47.2	16.4	86.8	65.6	37.2	24.8	62.8	21.2	66	54.4	56.2	61.2	60.4	46.4	55.6	91.2	22.8	37.6	24	20	80.4	9.2
35	TigerBot-13B-Base-V2	TigerResearch	2023/8/25	13B	48.2	72	52.4	72.8	39.6	0.8	48	24.8	68.4	65.2	40.4	42.4	80.8	3.2	70.8	58.8	54.1	52.8	40.4	35.2	59.6	92.8	43.6	34.8	22	20.8	86.8	18.4
36	LLaMA-2-Chinese-13B	FlagAlpha	2023/7/19	13B	48.2	74.4	59.9	69.2	42.4	3.2	47.2	29.2	68.4	73.2	46	38.8	65.2	1.6	68.4	63.6	49.3	62	34.8	33.6	69.1	94	21.6	34.8	14.4	18.4	94.4	24.4
37	Vicuna-13B-v1.5-16k	LMSYS	2023/7/31	13B	48.1	71.6	56.7	73.6	66.8	0.4	48	32.8	44.8	66.4	42	45.2	74	2.8	66	58.8	45.2	60	35.2	45.2	60.1	95.6	39.2	34.8	20.8	15.2	86.4	11.6
38	LLaMA-2-13B-Chinese-Chat	shareAI	2023/7/20	13B	47.3	74.4	56.1	72	44.8	4.4	45.6	27.6	54.4	63.6	41.2	42.4	67.6	3.6	72.8	51.6	49.3	62.8	36	36.8	61.8	95.2	27.6	33.6	20	18	98.4	14.4
39	Qwen-7B-Chat	Alibaba	2023/9/25	7B	46.9	77.6	57.8	63.6	52.8	1.6	39.2	15.2	74	54.4	38.4	32.4	69.2	22.4	59.2	60.4	47.3	61.6	43.2	37.2	67.4	83.6	46	32.8	22.4	13.2	77.6	16.8
40	LingoWhale-8B	DeepLang AI	2023/11/1	8B	46.6	72.4	48.1	69.2	43.2	2.8	42.4	12.4	63.2	53.6	44.4	36.4	78.4	11.2	58	53.2	40.4	59.6	68.4	41.2	73.6	80.8	77.6	31.2	17.2	15.2	51.2	11.6
41	TigerBot-13B-Base-V1	TigerResearch	2023/8/8	13B	46.3	75.2	59.4	68.4	41.2	0.4	48	29.2	71.6	64.8	46.8	46.8	60	1.6	62.4	60.8	55.5	53.6	34.4	32.8	55.6	90.4	28.4	29.6	21.2	18.4	79.2	15.6
42	LLaMA-2-13B	Meta	2023/7/19	13B	45.6	74	54.5	73.2	40	2.8	46.8	0	52.8	63.6	45.6	42	68	2	74.4	52.8	45.2	61.6	38	21.6	53.9	97.6	24.8	35.6	23.2	22.8	96	18.8
43	Baichuan-13B-Chat	Baichuan Intelligent Technology	2023/7/10	13B	45.4	74	54.5	61.2	62	4	54.4	18.4	62	58.8	36.8	32	72.4	5.6	64.8	60.4	43.8	56.4	40	33.6	52.8	88.4	42.4	35.6	20.4	15.6	62.8	13.2
44	Qwen-7B	Alibaba	2023/9/25	7B	45.2	75.6	62	64.4	44	0.4	50.8	18.4	80	54	36.4	27.6	75.6	24.8	55.6	26.4	52.7	60.4	42.4	43.2	56.7	82	35.6	35.2	20.8	14	65.6	16.8
45	Yi-6B	01.AI	2023/11/2	6B	44.9	60	52.4	63.6	46.4	1.2	53.2	28.4	72.4	49.2	34.8	27.6	76.8	9.2	66.4	53.6	48.6	57.2	46	32.4	60.1	92.8	32.4	34.4	17.2	14.4	65.2	16
46	ChatGLM3-6B	ZhipuAI	2023/10/27	6B	44.6	67.2	54.5	56.8	59.6	3.2	45.2	26	70.8	51.2	32	26.8	68	22.4	63.6	57.6	52.1	58	57.6	34	53.4	85.6	23.6	30	19.2	14.8	59.2	10.8
47	Vicuna-13B-v1.3	UC Berkeley	2023/4/7	13B	43.5	64.4	62.6	68.4	58.8	3.2	42.8	16.4	59.2	50	33.6	28	58	2	60.4	52.4	45.9	56	30	42	64	87.2	26.8	36	19.2	12	82.8	12.4
48	TigerBot-13B-Chat-V1	TigerResearch	2023/8/8	13B	43.4	48	56.1	68.4	39.2	2	37.2	24.8	71.6	60.8	44.4	37.6	64.4	4	63.6	63.2	43.8	52.8	38.8	34	56.2	83.2	22	29.2	16.8	20.4	72.4	16
49	Vicuna-7B-v1.5	LMSYS	2023/7/29	7B	43.4	68	56.7	54	51.2	2	50.8	33.6	56.4	62.4	41.6	38	66.8	2	60	46.4	41.8	56.4	43.6	43.2	55.6	88	20.4	30	14.8	16.4	63.6	6.8
50	Vicuna-7B-v1.5-16k	LMSYS	2023/8/7	7B	42.8	73.6	54	53.6	51.6	1.2	44	30.4	58	60.4	38	40.4	69.2	1.6	60	50	40.4	48.4	49.6	44	55.6	90	15.6	29.2	16.4	16.8	56.8	7.6
51	DeepSeek-7B-Base	DeepSeek	2023/11/29	7B	42.8	73.2	51.3	64.4	41.6	3.2	50.8	33.2	72.8	51.2	28.8	19.2	78.4	1.6	58.8	49.6	40.4	46.4	45.6	29.2	52.2	92	27.6	31.2	18.4	13.2	74.8	6.4
52	Baichuan-13B-Base	Baichuan Intelligent Technology	2023/7/10	13B	42.6	74.8	50.3	62	52	1.6	50.8	21.2	68.8	56	42.8	30	70.8	2.4	69.6	51.6	45.2	51.2	25.6	25.2	48.9	85.6	32.4	32	17.6	14.8	53.6	14
53	Aquila2-34B	BAAI	2023/10/25	34B	42.5	73.6	51.3	49.6	32.8	0.4	48	28	51.6	60	36.8	30	43.6	18.4	73.2	68	45.9	69.6	30	30.8	62.4	68.4	28	38.8	20.8	18.4	62.8	7.2
54	WeMix-LLaMa2-7B	Shanghai AI Lab	2023/8/31	7B	42.4	71.2	52.9	63.2	61.2	0.4	50.8	0	60.8	64.8	41.6	33.6	60.8	2.4	63.2	50.8	40.4	55.2	42.4	33.6	62.9	84.8	16.8	36	17.2	13.2	48.4	17.2
55	TigerBot-13B-Chat-V2	TigerResearch	2023/8/21	13B	42.3	73.2	49.2	48.8	42	0.8	23.2	27.2	69.6	64.4	38	30	66.4	5.6	64.8	40	52.7	48	40.8	42	56.2	52.8	34	33.6	24	18.8	83.6	13.2
56	Baichuan2-7B-Base	Baichuan Intelligent Technology	2023/9/6	7B	41.8	73.6	49.7	64	34.4	4.8	46.4	10	66	48	34.4	24.8	77.2	4	61.6	60.8	41.1	57.6	27.6	35.2	51.7	91.2	17.2	34	17.2	14.8	72.4	9.6
57	DeepSeek-7B-Chat	DeepSeek	2023/11/29	7B	41.6	67.6	18.7	54	55.6	2	46	26	63.2	60	35.6	26.4	75.2	8	58.4	57.2	53.4	48.8	40.8	40	56.7	31.6	30	35.6	21.2	14	91.2	7.2
58	Ziya-LLaMA-13B	IDEA-CCNL	2023/5/30	13B	40.9	72.4	58.3	60.8	47.6	0.4	45.6	3.6	57.6	58	30	8.8	52.8	1.2	57.6	53.6	43.2	49.2	36.4	30.8	62.9	93.6	16.8	32.4	16	15.2	90	10
59	TigerBot-13B-Chat-V3	TigerResearch	2023/9/15	13B	40.5	0.8	58.8	49.2	57.2	0.8	36.8	30.4	68.4	62.8	32.4	28.4	63.2	4	64.8	43.6	54.8	48.8	34	40.8	55.6	60	32.8	42	25.2	18.8	64	14
60	LLaMA-2-13B-Chat	Meta	2023/7/19	13B	40.2	53.2	32.1	70	48	5.2	35.6	0	58.4	75.2	50	42	64	0.8	2.4	2.8	54.8	63.2	40.4	38	72.5	91.6	19.6	34	21.2	18.4	90.8	0
61	XVERSE-13B-Chat	Shenzhen Yuanxiang Technology	2023/8/19	13B	40	67.6	49.2	63.2	40	2.8	22.8	14.4	56.4	43.2	32.8	27.2	68.4	6.4	63.2	54	52.7	55.6	28	39.2	64	60.8	22.8	30.4	19.6	14.4	73.6	7.2
62	TigerBot-7B-Base-V3	TigerResearch	2023/8/21	7B	39.7	72.8	53.5	53.6	50	0.8	46.4	13.6	65.6	62	34	26.4	70.4	1.2	50	52.8	37.7	44	36.4	33.2	53.4	74	9.6	34.8	16	13.2	58	9.2
63	LLaMA-2-Chinese-7B	FlagAlpha	2023/7/19	7B	39.6	62.4	50.8	53.6	54.4	2.8	51.6	12.8	62.4	56	34.8	26.4	64.4	2	63.6	52.4	37	43.2	39.6	32.2	51.7	90	8.8	31.6	15.2	14.8	49.2	6.4
64	Chinese-Alpaca-2-7B	iFLYTEK	2023/7/31	7B	38.8	64.4	54.5	59.2	42	1.6	48.8	11.2	51.2	50.8	34.8	25.2	62.4	0.4	54.4	56.4	39	48.4	30.4	27.2	51.7	80.4	23.2	30.4	17.2	15.2	62	5.2
65	LLaMA-2-7B	Meta	2023/7/19	7B	38.2	68	52.4	60	47.2	1.2	49.2	0	51.6	55.2	32.8	24	73.2	1.2	53.6	49.6	31.5	45.6	32.8	19.2	48.3	88.4	12	34.8	18	17.6	53.2	10.8
66	oppo-experiemental-7B	OPPO Research Institute	2023/10/27	7B	38	70.4	50.3	58.4	43.6	3.2	46	9.6	55.6	51.2	36.4	25.2	49.6	8.4	60.4	47.6	42.5	33.2	24.4	16.4	49.4	84.8	41.2	29.2	19.2	10.8	50.4	8.8
67	LLaMA-13B	Meta	2023/2/24	13B	37.9	68.8	54	56.4	49.6	0.8	47.6	0	53.6	48.8	29.6	16	61.6	0.8	58.4	46.8	43.2	45.2	29.2	11.2	60.7	76.4	16.8	36	16.4	14.4	66.8	15.2
68	Vicuna-7B-v1.3	UC Berkeley	2023/4/7	7B	37.5	64.8	54	58.8	54.4	0.4	48.4	9.6	52	43.6	29.6	25.6	57.2	1.6	44.4	42.4	32.9	34	45.2	18.4	51.1	87.2	20.4	32	21.2	11.2	62.4	10
69	Xwin-LM-7B-V0.1	Xwin-LM	2023/9/19	7B	37.1	62	49.2	58.4	49.6	1.2	42.8	25.2	61.6	49.2	36	21.6	38.8	2.8	60.8	25.2	32.9	40.8	33.6	33.6	57.9	69.2	15.6	36.4	19.6	15.6	55.2	6.4
70	InternLM-7B	Shanghai AI Lab & SenseTime	2023/7/6	7B	37	62	43.3	62	44	0.4	52.8	17.6	58.4	47.2	29.2	22.4	48	6.8	54	56.4	34.9	41.6	20	15.6	59.6	74.4	26	32	19.6	12.8	53.6	3.2
71	AquilaChat2-34B	BAAI	2023/10/25	34B	36.9	64	54	46.8	44.8	0	38.4	37.6	60.4	50.4	24	19.6	44.8	10	66.8	62.4	37.7	48.8	23.2	25.6	43.8	22	27.6	32	20.8	12.4	73.2	6.4
72	InternLM-Chat-7B-8K	Shanghai AI Lab & SenseTime	2023/7/6	7B	36	55.6	40.1	35.2	34.8	0.4	49.2	17.2	48	49.6	24.4	13.6	57.2	3.2	52.8	51.6	33.6	35.2	22.4	79.7	56.7	68.4	14.8	30	18.8	14.4	64.8	0
73	Baichuan2-7B-Chat	Baichuan Intelligent Technology	2023/9/6	7B	35.8	39.2	52.9	49.2	36.4	0.4	50	5.2	56.4	48.4	35.6	31.6	52	4.8	44.4	22	45.9	42.8	36	32	44.9	69.2	22	24.8	15.2	12.4	86.4	7.6
74	LLaMA-2-7B-Chat	Meta	2023/7/19	7B	35.6	65.6	20.9	57.2	54.4	2.4	47.2	0	51.6	57.2	33.6	28.8	56.4	2.8	14.8	50	41.1	42.8	42	29.6	54.5	87.2	13.6	28	14.4	16.4	45.2	4.8
75	MPT-7B	MosaicML	2023/5/6	7B	35.6	67.6	47.6	42	49.6	0.4	53.2	15.2	56	43.6	30.8	17.6	50	0	48.8	40	30.1	33.2	22.8	29.6	46.1	84	23.6	32.8	17.6	13.2	60.4	6.4
76	XVERSE-7B-Chat	Shenzhen Yuanxiang Technology	2023/9/26	7B	35.5	63.6	53.5	50.4	36.4	0.4	12.8	10.4	61.2	49.6	26.4	18.8	38.4	7.2	59.6	55.2	45.9	48.4	39.6	21.6	50	42.8	36.8	31.2	16	14	60.4	8.8
77	InternLM-20B-Chat	Shanghai AI Lab & SenseTime	2023/9/20	20B	35.3	62.8	43.9	44	46.4	0.4	50.4	17.2	22	49.6	23.6	16	60	3.6	56.4	59.2	37.7	40	8	22	61.2	76	26.8	30	18	16.8	62	0
78	Mistral-7B-Instruct-v0.1	mistralai	2023/9/27	7B	35	56.4	9.1	54.4	31.2	0.8	2.4	18.4	59.2	63.6	36.4	24.4	60.8	11.2	70.4	50.8	30.1	20	45.2	20.8	43.3	71.6	29.2	40	26	18	48.8	2.8
79	WizardLM-7B	Microsoft	2023/4/25	7B	34.7	63.2	49.7	44.8	60	0	44	1.6	52.4	45.2	26.8	15.2	47.6	0.4	49.2	51.2	26.7	28	28.8	17.6	50.6	88.8	18.8	33.2	20.4	14	53.6	4.8
80	OpenLLaMA-7Bv2	openlm-research	2023/7/16	7B	34.6	74.8	55.6	43.6	36.8	0.8	52.4	0.8	64.8	41.2	26.8	14.8	38.8	0.4	54.8	48	26.7	27.6	30.8	19.2	51.1	66	32	35.6	19.2	15.2	51.6	5.6
81	MOSS-Moon	Fudan university	2023/4/21	16B	34.1	70.4	50.8	49.6	43.6	0	51.6	21.6	55.6	46.4	29.6	19.6	38.8	0.8	54.8	46	33.6	36.4	22	12	46.6	46	27.6	31.2	16.8	12	54.8	2.8
82	GoGPT	Institute of Computing Technology Chinese Academy of Sciences	2023/7/21	7B	34.1	68	51.3	51.6	41.2	0	42	5.2	52	45.6	22.8	13.2	41.6	0	58	44.4	35.6	31.6	24.4	14.4	47.8	78	19.6	32.4	18.4	14.4	54.8	12
83	LLaMA-7B	Meta	2023/2/24	7B	33.5	66	41.7	44.8	45.2	1.6	46.4	0	58	43.2	23.2	13.6	40.8	0	44.8	46.8	27.4	34.6	22.4	16.8	46.1	81.6	24	36.4	18.4	14	57.2	8.8
84	Alpaca-7B	Stanford University	2023/3/14	7B	32.8	56.4	55.1	45.6	48	0.4	50.8	5.2	55.2	48	24.4	19.2	40.8	1.2	50	34	30.8	26	21.2	21.2	47.8	67.2	13.2	32.8	14.4	14	58	5.2
85	Baichuan-7B	Baichuan Intelligent Technology	2023/6/15	7B	32.8	58.4	55.1	41.6	43.2	0	50	0	50	46.8	27.6	14.8	40.4	0	59.2	39.2	30.1	24	28.4	18	44.9	66.8	24.8	36	17.2	16	49.2	3.6
86	ChatGLM2-6B	ZhipuAI	2023/6/25	6B	32.7	59.6	52.4	36	56	0.4	19.6	9.6	62.8	51.1	26	22.8	38	6.4	53.2	38	29.5	22	18.4	28	60.1	59.6	21.3	31.6	18	10.8	47.2	3.6
87	InternLM-Chat-7B	Shanghai AI Lab & SenseTime	2023/7/6	7B	32.5	60	42.2	34.4	43.6	0.4	40.4	12	45.6	47.2	26	20.8	44	6.8	54.8	41.2	35.6	32.4	16.8	27.2	53.9	66.8	17.2	32.8	20	14	42	0
88	MOSS-Moon-SFT	Fudan university	2023/4/21	16B	32.3	73.6	44.9	37.6	37.6	1.6	42.8	18	56.4	43.2	20.8	18.4	28.8	0.8	56	50.4	32.9	35.6	16.8	24.4	48.9	56	24	28.4	14.8	12	45.2	1.2
89	XVERSE-7B	Shenzhen Yuanxiang Technology	2023/9/26	7B	31	58.8	42.2	56	23.6	1.2	16.8	1.6	54	34	20	12.8	32	0.8	58.8	31.2	45.9	30.8	32	21.6	50.6	66.4	23.6	33.6	14.8	14.4	50	10
90	AquilaChat2-7B	BAAI	2023/10/25	7B	30.8	64	60.4	30	41.2	0.4	26.8	8.8	51.2	36	19.6	16.4	42	0.4	56.8	39.2	28.1	14.4	14.8	16	51.7	68.8	26.4	34.4	18	12	46.8	6.8
91	OpenLLaMA-3Bv2	openlm-research	2023/7/16	3B	30.2	58.4	51.3	35.2	28.4	0.4	48.8	0	64	31.6	23.2	17.2	31.2	0.4	46.4	28.8	21.2	20	22	14	52.2	76	28.4	33.6	15.2	12.8	52.4	1.2
92	TigerBot-7B-Chat-V3	TigerResearch	2023/8/21	7B	29.9	37.2	54	42.8	36.8	0	27.2	6.4	58	31.6	24.4	18	64	0	62	20.4	41.1	38.4	30.8	27.2	45.5	54.4	14.8	36.8	17.6	11.2	0.4	6.8
93	AquilaChat2-34B-16K	BAAI	2023/10/25	34B	29.6	58	1.6	32.8	45.2	0	25.2	39.6	49.2	47.6	33.2	25.2	28.8	1.2	60	40.4	34.2	27.6	25.2	10	52.8	23.2	24	30.4	19.2	13.6	50.8	1.2
94	Phi-1.5-1.3B	Microsoft	2023/9/10	1.3B	29.6	65.6	55.6	18.8	31.2	0	47.2	0	51.6	41.6	25.2	16.8	28	2	50	36	30.1	23.2	21.6	17.2	47.8	48.4	23.6	34.4	16.4	15.6	48	2.4
95	TigerBot-7B-Base-V2	TigerResearch	2023/7/8	7B	28.4	49.6	47.1	26	46.8	0.8	40.8	16	43.6	37.6	18.4	14.8	21.2	0	50.4	32	22.6	18.4	13.6	18.8	55.1	54	27.2	30.4	17.2	14.4	46	4.8
96	Qwen-1.8B-Chat	Alibaba	2023/11/30	1.8B	27.4	46.4	48.7	19.6	30	0	21.2	9.2	54.8	33.2	18	11.2	34	0.4	58.8	34	19.9	18.4	24.8	22.8	46.1	57.6	23.2	34.4	13.2	10.4	48.8	1.6
97	MPT-Instruct-7B	MosaicML	2023/5/6	7B	25.6	63.6	13.4	38	32.4	0	40	12.8	50	46.8	33.2	16	38.8	0	2	5.2	33.6	33.2	24	30.4	49.4	40.4	21.6	32.4	18.4	14.8	0	0.4
98	TigerBot-7B-SFT-V1	TigerResearch	2023/6/15	7B	24.6	39.6	51.3	26	39.6	1.2	36.4	5.6	52.4	27.2	13.2	8.4	26.8	0	38.8	30.4	30.8	22.4	18	12.8	47.2	27.2	19.6	24	11.2	8	42.8	3.6
99	RWKV-5-3B	RWKV Foundation	2023/11/15	3B	24.4	39.2	48.7	19.6	28.4	0	25.6	2	51.6	31.6	2.8	3.2	26.8	1.2	41.2	31.2	17.1	15.2	22	14.8	43.8	50.4	21.2	31.6	21.6	15.6	50.4	2.4
100	TigerBot-7B-Base-V1	TigerResearch	2023/6/7	7B	23.1	44.8	15.5	20.8	32.8	0	30.4	3.6	56.4	8.8	14	5.6	36	0	41.2	38	19.9	17.6	23.6	11.6	53.9	54.8	27.2	35.2	17.2	13.2	0	1.2
